DTLB TOTAL_MPKI,L1D Accuracy,L1I TOTAL_MPKI,IPC,ITLB TOTAL_MPKI,File,LLC TOTAL_MPKI,L2C Accuracy,L2C TOTAL_MPKI,LLC Accuracy,STLB TOTAL_MPKI,L1D TOTAL_MPKI
7.49207,9.10507,45.4011,0.498924,7.6713,server_021.txt,30.2377,0.193001,32.7972,0,0.374275,33.9047
9.11697,31.6052,42.2919,0.335307,8.25389,srv_42.txt,0.418995,8.45026,16.9764,0.512821,0.59389,22.9177
10.3574,37.9533,55.7347,0.307938,10.9349,srv_18.txt,0.24849,29.8246,6.55866,5.55556,0.28367,28.7409
5.69098,1.94993,5.97978,0.546759,1.19741,client_001.txt,2.51611,5.46123,5.31184,7.0018,0.079485,10.6511
7.61883,0.0966717,45.646,0.501378,7.71359,server_022.txt,30.9674,0,33.043,0,0.3651,33.8504
7.58507,83.0699,45.525,0.505834,7.70153,srv_39.txt,31.0356,22.5577,32.8169,0,0.390605,33.7592
10.7226,73.3333,57.5072,0.30299,11.3207,server_031.txt,0.62837,25,5.15092,0,0.27487,23.8455
8.89926,-,3.0373,0.721601,0.51147,srv_27.txt,1.18767,-,2.35046,-,0.42842,2.33446
9.2087,45.0787,53.0825,0.312191,10.1684,srv_20.txt,0.065945,20.0249,7.49031,3.33333,0.0414,19.9777
12.5747,0,25.2172,0.429274,3.97169,srv_10.txt,1.17186,131.373,19.0657,0,2.31822,12.6601
10.7891,74.0497,57.5038,0.305538,11.3171,srv_25.txt,0.215155,33.3333,5.15856,50,0.277285,24.6612
11.453,28.2378,61.6363,0.26158,12.8551,srv_44.txt,2.12593,5.41413,14.7,1.07527,0.506115,28.3679
10.4109,32.6758,55.4185,0.310054,10.946,server_028.txt,0.53453,6.52626,5.02038,9.89011,0.38209,27.984
9.98114,93.3333,77.1925,0.50005,12.4636,server_038.txt,0.38454,50,2.73688,-,0.11405,8.45267
6.84608,58.0619,11.0312,0.583601,2.29306,srv_8.txt,3.86998,31.7856,9.32207,39.4721,0.75797,8.36724
10.075,0,77.0508,0.50661,12.4323,srv_32.txt,0.079535,0,3.19416,0,0.112175,8.42441
10.6445,-,56.0951,0.305779,11.0678,srv_73.txt,0.464355,-,6.74284,-,0.3205,26.882
8.9734,11.2221,48.5513,0.333702,9.27944,srv_22.txt,0.076655,6.90858,7.66484,0,0.04918,19.7717
5.89822,1.44928,9.71386,0.595765,2.0866,server_001.txt,4.41227,0,8.53792,0,0.58848,8.03723
8.88284,-,47.3417,0.338681,9.04199,server_023.txt,0.66239,-,6.99477,,0.05442,18.9918
13.0499,51.3137,25.7226,0.452062,3.90289,srv_63.txt,1.48737,7.7157,15.6935,0,1.77794,12.2646
,,,,,output.csv,,,,,,
8.97354,25.6898,48.5513,0.334457,9.27945,srv_70.txt,0.087485,1.18265,7.15085,3.22581,0.04918,19.5037
,,,,,client_005.txt,,,,,,
13.025,2.90323,25.6384,0.465093,4.0038,srv_64.txt,1.44274,2.97831,15.156,1.42857,1.60017,12.3378
11.9483,58.3766,23.8504,0.453611,3.67856,srv_68.txt,1.52095,62.0253,16.3495,50,1.89093,11.709
10.1411,-,57.0441,0.308744,11.2692,srv_23.txt,0.00793,-,4.77958,-,0.14673,27.8395
10.0274,73.3468,76.6375,0.501587,12.3813,server_037.txt,0.386065,1.18724,2.9644,2.5974,0.11398,8.56209
9.22629,45.607,53.3605,0.311341,10.2471,srv_74.txt,0.025035,19.399,7.69498,0,0.046705,19.9193
