IPC,L2C TOTAL_MPKI,L1I TOTAL_MPKI,L1D TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,LLC TOTAL_MPKI,File
0.338272,7.05825,47.3417,18.9919,9.04199,8.88285,0.05442,0.8782,server_023.txt
0.450829,15.7026,25.7226,12.2138,3.90289,13.0493,1.778,2.07936,srv_63.txt
0.334126,7.06897,48.5513,19.2713,9.27945,8.97354,0.04918,0.311305,srv_70.txt
,,,,,,,,client_005.txt
0.465625,15.1686,25.6384,12.2797,4.0038,13.0265,1.60013,1.96544,srv_64.txt
0.453028,16.3803,23.8504,11.6953,3.67856,11.9466,1.89093,2.10192,srv_68.txt
0.307989,5.04287,57.0441,27.8395,11.2692,10.1411,0.14673,0.08222,srv_23.txt
0.501412,2.89488,76.6375,8.38484,12.3813,10.0273,0.11398,0.575615,server_037.txt
0.311042,7.6847,53.3605,19.6853,10.2471,9.22625,0.04648,0.1448,srv_74.txt
0.313334,5.02065,57.2194,27.4171,11.2719,10.1944,0.14378,0.098405,srv_15.txt
0.444944,12.8576,22.7762,11.3454,4.21701,4.4821,0.566945,2.29056,srv_55.txt
0.512031,33.0431,45.5273,33.7988,7.69157,7.65801,0.39089,35.0707,srv_35.txt
0.665737,0.378865,14.7161,0.34862,4.94399,4.59445,0.006965,0.26459,server_002.txt
0.519992,33.1569,45.2671,33.9342,7.68371,7.6223,0.37604,33.7588,srv_75.txt
0.520606,33.0577,45.5907,33.8041,7.71449,7.58486,0.36785,33.2796,srv_33.txt
0.458884,32.7476,42.2898,32.9997,7.08017,8.03524,0.734955,33.6832,server_018.txt
0.305616,5.86137,56.6031,28.2521,11.1386,10.1357,0.145005,0.274235,server_030.txt
0.540873,8.6535,12.2391,13.4559,2.47523,6.23406,0.45455,5.77867,client_006.txt
0.522111,0.01266,77.1558,0.97421,10.7736,5.9109,0.00135,0.0126,server_039.txt
0.435325,12.719,23.6948,11.7869,4.43053,4.91504,0.50559,2.06036,srv_41.txt
0.341258,13.5249,17.2319,60.6663,2.75163,43.4555,1.62964,1.54018,srv_1.txt
0.334982,15.3927,42.1922,22.4411,8.228,9.05876,0.591815,1.07087,srv_43.txt
