IPC,L2C TOTAL_MPKI,L1I TOTAL_MPKI,L1D TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,LLC TOTAL_MPKI,File
0.441713,12.5836,21.4025,12.0387,5.24485,5.1763,0.393235,3.25091,srv_48.txt
0.446451,11.3024,21.3976,11.2166,5.20544,5.28081,0.44114,2.68964,srv_49.txt
0.462008,15.4942,25.7573,12.2943,4.03885,13.0666,1.59833,1.47405,srv_5.txt
0.404234,15.2934,25.5391,13.3172,4.79754,5.02449,0.433795,2.37646,srv_50.txt
0.418958,13.5537,23.7205,12.1474,4.45493,5.23746,0.4234,2.00311,srv_51.txt
0.302339,20.8484,42.4988,20.3945,8.20544,8.44612,0.728245,1.64367,srv_52.txt
0.351434,14.9547,32.1157,14.2727,6.31199,6.27879,0.46104,0.75285,srv_53.txt
0.51718,9.21332,16.4163,8.3075,2.99563,3.12506,0.39017,1.41253,srv_54.txt
0.447032,13.0619,22.7762,11.4033,4.21701,4.48222,0.568515,1.76677,srv_55.txt
0.60181,3.57782,13.1988,6.62399,4.08771,4.4993,0.265665,0.50506,srv_56.txt
0.601095,4.06713,12.6251,6.61214,4.19086,4.69842,0.36774,0.889995,srv_57.txt
0.645004,2.51124,9.6805,4.52351,2.60026,3.25697,0.00269,0.003515,srv_58.txt
0.609929,2.93382,11.2106,5.2973,3.00709,3.52652,0.00366,0.003755,srv_59.txt
0.464338,15.109,25.0763,12.1773,3.94903,12.8783,1.72178,1.53078,srv_6.txt
0.41053,20.8864,26.3265,13.4061,4.12148,12.9057,2.5302,1.3125,srv_60.txt
0.420229,19.6414,26.0549,12.6199,4.11016,12.7144,2.28902,1.34474,srv_61.txt
0.456388,15.4451,25.6464,12.2198,3.87377,12.8382,1.70301,1.48671,srv_62.txt
0.452153,15.8902,25.7226,12.2177,3.90289,13.0502,1.77834,1.50222,srv_63.txt
0.464766,15.437,25.6384,12.2823,4.0038,13.0249,1.60143,1.46448,srv_64.txt
0.466725,15.333,25.5222,12.2037,4.01355,11.745,1.57257,1.42682,srv_65.txt
0.463255,15.3181,25.1923,12.1619,3.96881,12.8432,1.71491,1.5469,srv_66.txt
0.466359,14.8184,25.1088,12.058,3.96569,12.8935,1.63423,1.53792,srv_67.txt
